"laureate_known_name","laureate_gender","laureate_birth_date","laureate_birth_city","laureate_birth_country","laureate_current_city","laureate_current_country","laureate_continent","laureate_id","laureate_id (Right)","award_year","award_category_name","award_category_full_name","award_sort_order","award_portion","award_date","award_prize_status","award_motivation","award_prize_amount","affiliation_institute_name_then","affiliation_institute_name_now","affiliation_city_then","affiliation_country_then","affiliation_city_now","affiliation_country_now","affiliation_continent"
"Gerhart Hauptmann","male","1862-11-15","Bad Salzbrunn","Prussia","Bad Salzbrunn","Poland","Europe","582","582","1912","Literature","The Nobel Prize in Literature","1","1","1912-11-14","received","primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",140476,,,,,,,
"Gertrude B. Elion","female","1918-01-23","New York, NY","USA","New York, NY","USA","North America","438","438","1988","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","1988-10-17","received","for their discoveries of important principles for drug treatment",2500000,"Wellcome Research Laboratories","Wellcome Research Laboratories","Research Triangle Park, NC","USA","Research Triangle Park, NC","USA","North America"
"Gerty Cori","female","1896-08-15","Prague","Austria-Hungary","Prague","Czech Republic","Europe","344","344","1947","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/4","1947-10-23","received","for their discovery of the course of the catalytic conversion of glycogen",146115,"Washington University","Washington University","St. Louis, MO","USA","St. Louis, MO","USA","North America"
"Giorgio Parisi","male","1948-08-04","Rome","Italy","Rome","Italy","Europe","1001","1001","2021","Physics","The Nobel Prize in Physics","3","1/2","2021-10-05","received","for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales",10000000,"Sapienza University of Rome","Sapienza University of Rome","Rome","Italy","Rome","Italy","Europe"
"Giorgos Seferis","male","1900-03-13","Smyrna","Ottoman Empire","Izmir","Turkey","Asia","635","635","1963","Literature","The Nobel Prize in Literature","1","1","1963-10-24","received","for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",265000,,,,,,,
"Giosu? Carducci","male","1835-07-27","Val di Castello","Tuscany","Val di Castello","Italy","Europe","576","576","1906","Literature","The Nobel Prize in Literature","1","1","1906-11-08","received","not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",138536,,,,,,,
"Giulio Natta","male","1903-02-26","Imperia","Italy","Imperia","Italy","Europe","229","229","1963","Chemistry","The Nobel Prize in Chemistry","2","1/2","1963-11-05","received","for their discoveries in the field of the chemistry and technology of high polymers",265000,"Institute of Technology","Institute of Technology","Milan","Italy","Milan","Italy","Europe"
"Glenn T. Seaborg","male","1912-04-19","Ishpeming, MI","USA","Ishpeming, MI","USA","North America","213","213","1951","Chemistry","The Nobel Prize in Chemistry","2","1/2","1951-11-15","received","for their discoveries in the chemistry of the transuranium elements",167612,"University of California","University of California","Berkeley, CA","USA","Berkeley, CA","USA","North America"
"Godfrey N. Hounsfield","male","1919-08-28","Newark","United Kingdom","Newark","United Kingdom","Europe","418","418","1979","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/2","1979-10-11","received","for the development of computer assisted tomography",800000,"Central Research Laboratories, EMI","Central Research Laboratories, EMI","London","United Kingdom","London","United Kingdom","Europe"
,,,,,,,,"810","810","2006","Peace","The Nobel Peace Prize","2","1/2","2006-10-13","received","for their efforts to create economic and social development from below",10000000,,,,,,,
"Grazia Deledda","female","1871-09-27","Nuoro, Sardinia","Italy","Nuoro, Sardinia","Italy","Europe","597","597","1926","Literature","The Nobel Prize in Literature","1","1","1927-11-10","received","for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general",116960,,,,,,,
"Gregg L. Semenza","male","1956-07-12","New York, NY","USA","New York, NY","USA","North America","972","972","2019","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","2019-10-07","received","for their discoveries of how cells sense and adapt to oxygen availability",9000000,"Johns Hopkins University","Johns Hopkins University","Baltimore, MD","USA","Baltimore, MD","USA","North America"
"Guglielmo Marconi","male","1874-04-25","Bologna","Italy","Bologna","Italy","Europe","13","13","1909","Physics","The Nobel Prize in Physics","1","1/2","1909-11-09","received","in recognition of their contributions to the development of wireless telegraphy",139800,"Marconi Wireless Telegraph Co. Ltd.","Marconi Wireless Telegraph Co. Ltd.","London","United Kingdom","London","United Kingdom","Europe"
"Guido W. Imbens","male","1963-09-03","Geldrop","the Netherlands","Geldrop","the Netherlands","Europe","1009","1009","2021","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","3","1/4","2021-10-11","received","for their methodological contributions to the analysis of causal relationships",10000000,"Stanford University","Stanford University","Stanford, CA","USA","Stanford, CA","USA","North America"
"Gunnar Myrdal","male","1898-12-06","Skattungbyn","Sweden","Skattungbyn","Sweden","Europe","684","684","1974","Economic Sciences","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel","1","1/2","1974-10-09","received","for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",550000,,,,,,,
"Günter Blobel","male","1936-05-21","Waltersdorf","Germany","Niegoslawice","Poland","Europe","461","461","1999","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1999-10-11","received","for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell",7900000,"Rockefeller University","Rockefeller University","New York, NY","USA","New York, NY","USA","North America"
"Günter Blobel","male","1936-05-21","Waltersdorf","Germany","Niegoslawice","Poland","Europe","461","461","1999","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","1","1","1999-10-11","received","for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell",7900000,"Howard Hughes Medical Institute","Howard Hughes Medical Institute",,"USA",,"USA","North America"
"Günter Grass","male","1927-10-16","Danzig","Free City of Danzig","Gdansk","Poland","Europe","676","676","1999","Literature","The Nobel Prize in Literature","1","1","1999-09-30","received","whose frolicsome black fables portray the forgotten face of history",7900000,,,,,,,
"Gustaf Dalén","male","1869-11-30","Stenstorp","Sweden","Stenstorp","Sweden","Europe","17","17","1912","Physics","The Nobel Prize in Physics","1","1","1912-11-12","received","for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys",140476,"Swedish Gas-Accumulator Co.","Swedish Gas-Accumulator Co.","Lidingö, Stockholm","Sweden","Lidingö, Stockholm","Sweden","Europe"
"Gustav Hertz","male","1887-07-22","Hamburg","Germany","Hamburg","Germany","Europe","31","31","1925","Physics","The Nobel Prize in Physics","2","1/2","1926-11-11","received","for their discovery of the laws governing the impact of an electron upon an atom",118165,"Halle University","Halle University","Halle","Germany","Halle","Germany","Europe"
"Gustav Stresemann","male","1878-05-10","Berlin","Germany","Berlin","Germany","Europe","491","491","1926","Peace","The Nobel Peace Prize","2","1/2","1926-12-10","received","for their crucial role in bringing about the Locarno Treaty",116960,,,,,,,
"H. David Politzer","male","1949-08-31","New York, NY","USA","New York, NY","USA","North America","777","777","2004","Physics","The Nobel Prize in Physics","2","1/3","2004-10-05","received","for the discovery of asymptotic freedom in the theory of the strong interaction",10000000,"California Institute of Technology (Caltech)","California Institute of Technology (Caltech)","Pasadena, CA","USA","Pasadena, CA","USA","North America"
"H. Gobind Khorana","male","1922-01-09","Raipur","India","Raipur","India","Asia","389","389","1968","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","1968-10-16","received","for their interpretation of the genetic code and its function in protein synthesis",350000,"University of Wisconsin","University of Wisconsin","Madison, WI","USA","Madison, WI","USA","North America"
"H. Robert Horvitz","male","1947-05-08","Chicago, IL","USA","Chicago, IL","USA","North America","751","751","2002","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","2","1/3","2002-10-07","received","for their discoveries concerning genetic regulation of organ development and programmed cell death'",10000000,"Massachusetts Institute of Technology (MIT)","Massachusetts Institute of Technology (MIT)","Cambridge, MA","USA","Cambridge, MA","USA","North America"
"Halldór Laxness","male","1902-04-23","Reykjavik","Iceland","Reykjavik","Iceland","Europe","626","626","1955","Literature","The Nobel Prize in Literature","1","1","1955-10-27","received","for his vivid epic power which has renewed the great narrative art of Iceland",190214,,,,,,,
"Hamilton O. Smith","male","1931-08-23","New York, NY","USA","New York, NY","USA","North America","416","416","1978","Physiology or Medicine","The Nobel Prize in Physiology or Medicine","3","1/3","1978-10-12","received","for the discovery of restriction enzymes and their application to problems of molecular genetics",725000,"Johns Hopkins University School of Medicine","Johns Hopkins University School of Medicine","Baltimore, MD","USA","Baltimore, MD","USA","North America"
"Han Kang","female","1970-11-27","Gwangju","South Korea","Gwangju","South Korea","Asia","1042","1042","2024","Literature","The Nobel Prize in Literature","1","1","2024-10-10","received","for her intense poetic prose that confronts historical traumas and exposes the fragility of human life",11000000,,,,,,,
"Hannes Alfvén","male","1908-05-30","Norrköping","Sweden","Norrköping","Sweden","Europe","91","91","1970","Physics","The Nobel Prize in Physics","1","1/2","1970-10-27","received","for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics",400000,"Royal Institute of Technology","Royal Institute of Technology","Stockholm","Sweden","Stockholm","Sweden","Europe"
"Hans Bethe","male","1906-07-02","Strasbourg","Germany","Strasbourg","France","Europe","88","88","1967","Physics","The Nobel Prize in Physics","1","1","1967-10-30","received","for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",320000,"Cornell University","Cornell University","Ithaca, NY","USA","Ithaca, NY","USA","North America"
